Titre du bulletin (ANSSI),Lien du bulletin (ANSSI),Type de bulletin,Identifiant CVE,Score CVSS,Base severity,Score Epss,Type CWE,Description CWE,Editeur,Produit,Versions affectées 
Vulnérabilité dans VMware Spring Cloud Gateway (03 mars 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-002/,alerte,CVE-2022-22947,Non disponible,Non disponible,0.974600000,CWE-94,CWE-94: Improper Control of Generation of Code ('Code Injection'),n/a,Spring Cloud Gateway,"['Spring cloud gateway versions 3.1.x prior to 3.1.1+, 3.0.x prior to 3.0.7+ and all old and unsupported versions']"
[MàJ] Vulnérabilité dans Atlassian Confluence (03 juin 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-006/,alerte,CVE-2022-26134,Non disponible,Non disponible,0.973800000,Non disponible,Remote Code Execution,Atlassian,Confluence Server,"['next of 1.3.0', 'unspecified', '7.13.0', 'unspecified', '7.14.0', 'unspecified', '7.15.0', 'unspecified', '7.16.0', 'unspecified', '7.17.0', 'unspecified', '7.18.0', 'unspecified']"
Multiples vulnérabilités dans Microsoft Windows (16 septembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,alerte,CVE-2022-34718,9.8,Critique,0.004490000,Non disponible,Remote Code Execution,Microsoft,Windows Server 2012 R2 (Server Core installation),['6.3.9600.0']
Multiples vulnérabilités dans Microsoft Windows (16 septembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,alerte,CVE-2022-34721,9.8,Critique,0.003850000,Non disponible,Remote Code Execution,Microsoft,Windows Server 2012 R2 (Server Core installation),['6.3.9600.0']
Multiples vulnérabilités dans Microsoft Windows (16 septembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-007/,alerte,CVE-2022-34722,9.8,Critique,0.003850000,Non disponible,Remote Code Execution,Microsoft,Windows Server 2012 R2 (Server Core installation),['6.3.9600.0']
[MaJ] Multiples vulnérabilités dans Microsoft Exchange (30 septembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-008/,alerte,CVE-2022-41040,8.8,Elevée,0.003780000,Non disponible,Elevation of Privilege,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 23,['15.01.0']
[MaJ] Multiples vulnérabilités dans Microsoft Exchange (30 septembre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-008/,alerte,CVE-2022-41082,8.0,Elevée,0.066870000,Non disponible,Remote Code Execution,Microsoft,Microsoft Exchange Server 2016 Cumulative Update 23,['15.01.0']
[MaJ] Vulnérabilité dans Zimbra Collaboration (07 octobre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-009/,alerte,CVE-2022-37393,Non disponible,Non disponible,0.002030000,CWE-284,CWE-284 Improper Access Control,Synacor,Zimbra Server,"['9.0.0.p27', '8.8.15.p34']"
[MaJ] Vulnérabilité dans Zimbra Collaboration (07 octobre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-009/,alerte,CVE-2022-41352,Non disponible,Non disponible,0.915140000,Non disponible,n/a,n/a,n/a,['n/a']
Multiples vulnérabilités dans GLPI (07 octobre 2022),https://www.cert.ssi.gouv.fr/alerte/CERTFR-2022-ALE-010/,alerte,CVE-2022-35947,10.0,Critique,0.001800000,CWE-89,CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection'),glpi-project,glpi,"['>= 9.1, < 10.0.3']"
